URL,Lat,Lng
https://ordenconstantiniana.org/it/la-delegacion-de-cataluna-organiza-la-campana-de-navidad-2016-a-favor-del-comedor-social-reina-de-la-paz-de-barcelona,41.42,2.18
https://30panxes.wordpress.com/,41.42,2.18
https://ajuntament.barcelona.cat/ccivics/elsortidor/p/16621/a-taula-cicle-de-cultura-i-gastronomia,41.37,2.16
https://agapeintercultural.org/,41.37,2.16
https://www.amb.cat/web/medi-ambient/residus/prevencio/aprofitament-alimentari,41.37,2.13
https://abarkacoop.com/ca/,41.37,2.13
https://www.facebook.com/abarkacoop,41.37,2.13
https://www.alimentacionsindesperdicio.com/actualidad/p/adios-la-verguenza-pedir-las-sobras-la-comida,41.39,2.13
https://albarrio.org/referentes-comunitarios-en-alimentacion-saludable-y-sostenible-un-modelo-innovador,,
https://www.alimentaciosostenible.barcelona/es/semana-ciudadana/programa/visita-la-vivienda-cooperativa-cirerers,41.35,2.12
https://www.alimentaria.com/,41.35,2.12
https://tienda.allthose.org/,41.39,2.18
https://arrandeterra.org/,41.42,2.17
https://www.arrelsfundacio.org/es/a-cubierto-una-iniciativa-para-colaborar-desde-casa-con-las-personas-sin-hogar,41.37,2.16
https://pamapam.org/directori/arrels-cooperativa-consum-critic-dreta-eixample/,41.40,2.17
https://patillimona.net/associacio-cuinant-cultures/,41.38,2.17
https://lasagreraesmou.org/,41.42,2.19
https://associacioveganacatalunya.org/,41.36,2.15
https://www.amicsjbb.org/,41.36,2.15
https://agtbaix.cat/,,
https://facebook.com/BCNGastronomicSociety,,
https://www.bcnsostenible.cat/es/web/punt/cooperativa-germinal,,
https://fundaciomiquelagusti.cat/banc-de-llavors/,41.35,2.14
https://gestorcrm.bancdelsaliments.org/es/donacion-alimentos-puntual,41.35,2.14
https://barlaraiz.org/,41.37,2.16
https://barcelonaborngourmet.com/born-street-food/,41.38,2.18
https://www.solucionssocials.org/,41.37,2.15
https://ca.brotsecosocial.org/,41.39,2.14
https://www.cccb.org/es/actividades/ficha/dia-de-la-primavera/228322,41.38,2.16
https://www.canricart.com/es/social-2/recogida-de-alimentos,41.47,2.08
https://caltemerari.cat/,41.47,2.08
https://www.canmasdeu.net/,41.44,2.15
https://www.canpujades.org/,41.41,2.09
https://canvalent.wordpress.com/,41.43,2.17
https://laescocesa.org/ca/programa/casa%20de%20llavors,41.41,2.20
https://calisidret.eixpereiv.org/,41.41,2.20
https://www.cityplot.org/barcelona,41.39,2.12
https://pamapam.org/directori/col-nata-sarria/,41.39,2.12
https://www.diba.cat/xarxasost/comissiohorts,41.38,2.14
https://cooccio.com/ca/,41.38,2.14
https://coopeclot.home.blog/,41.41,2.18
https://sites.google.com/site/cooperativaborronets/,41.43,2.19
https://pamapam.org/directori/cooperativa-can-baro-can-baro/,41.41,2.16
https://www.girasoldesantmarti.net/,41.41,2.20
https://coopelaseca.wordpress.com/,41.37,2.16
https://cooppamapam.wordpress.com/,41.39,2.18
https://ajuntament.barcelona.cat/casalsdebarrihg/cbpirineu/entitats/entitat/Cooperativa%20de%20Consum%20Ecol%C3%B2gic%20Pirineu,41.41,2.16
https://trementinaires.wordpress.com/,41.41,2.15
https://elborro.blogspot.com/,41.43,2.19
https://lasenallacooperativaviladegracia.blogspot.com/p/inici.html,41.40,2.15
https://www.bcn.coop/,41.36,2.13
https://pamapam.org/directori/cooxino/,41.37,2.16
https://caritas.barcelona/es/ayuda-a-necesidades-basicas/alimentos-en-parroquias,41.43,2.22
https://cuchara.cat/,41.43,2.22
https://www.ateneuharmonia.cat/,41.43,2.20
https://cancarol.cat/,41.41,2.14
https://calabria66.net/cuinacomunitaria/,41.47,2.18
https://www.laperiferica.cat/cuina-social/,41.47,2.18
https://canbatllo.org/cb/cuina/,41.36,2.13
https://somlaclau.org/projectes/cuinem-el-canvi/,41.37,2.16
https://www.cydoniabcn.org/index.html,41.40,2.19
https://www.boncor.org/,41.37,2.15
https://www.instagram.com/desenruna/,41.41,2.14
https://www.hijascaridadee.org/es/que-hacemos/obras-sociales/disa-sagrada-familia-barcelona,41.41,2.17
https://pamapam.org/directori/ecorocaguinarda-guinardo/,41.41,2.17
https://www.ateneu.cat/projectes/ecoateneu/,41.46,2.08
https://ajuntament.barcelona.cat/ecologiaurbana/es/plan-buits/edicion-2015/passeig-valldaura-271,41.43,2.18
https://www.ejercitodesalvacion.es/sobre-nosotros/nuestra-accion-social,41.40,2.15
https://elcaucoop.com/,41.40,2.15
https://www.instagram.com/jardidelfenix/,41.37,2.11
https://llevat.org/,41.40,2.14
https://facebook.com/anemaltros,41.43,2.15
https://www.emmaus.cat/,41.38,2.14
https://esimperfect.com/,41.31,2.08
https://espaiambiental.coop/,41.39,2.17
https://comtal.org/que-fem/que-fem/participacio-i-accio-comunitaria/benet-corner/,41.39,2.17
https://recreantcruilles.wordpress.com/,41.38,2.15
https://esperancabarcelona.com/es,,
https://espigoladors.cat/,,2.15
https://foodcoopbcn.cat/es,41.38,2.15
https://sants.coop/project/faves-comptades/,41.37,2.14
https://www.alimentaciosostenible.barcelona/ca/terra-i-gust,41.38,2.18
https://9bacull.org/festival-de-sopes-del-mon-2/,41.44,2.17
https://www.fira-apat.cat/fira-apat-bcn/,41.36,2.10
https://foodrelations.org/,41.39,2.18
https://www.foodcultura.org/,41.39,2.18
https://www.mercabarna.es/responsabilitat-social/foodback/,41.33,2.11
https://www.facebook.com/p/Foodsharing-Barcelona-100076098386400,,
https://www.els3turons.org/category/hort-i-jardineria-es,,
https://fundacioferrersustainability.org/es/green-for-good/el-jardi-fenix,41.51,2.36
https://www.fundacionadsis.org/es/noticias/primera-experiencia-del-proyecto-de-soberania-alimentaria-veu-i-brot,,2.14
https://fundacionaurea.org/,41.39,2.14
https://canpedro.org/,41.37,2.14
https://www.fundaciocatalunya-lapedrera.com/es/comer-compania,41.39,2.16
https://www.mescladis.org/,41.38,2.15
https://www.fundacioroure.org/es/inicio,,
