URL,Lat,Lng
https://www.airfield.ie/communitygarden,53.28,-6.23
https://www.facebook.com/AshfordGardenStoneybatter/,53.35,-6.29
https://ballyfermotfrc.com/,53.34,-6.34
https://www.bcyc.ie/about.html,53.29,-6.29
https://www.dublincommunitygrowers.ie/all-gardens/featured-gardens/blarney-park-community-garden/,53.31,-6.29
https://www.crumlincommunitycleanup.ie/biodiversity-growing,53.32,-6.34
https://www.dublincommunitygrowers.ie/all-gardens/braithwaite-community-garden/,53.33,-6.28
https://bridgefootstreetcommunitygarden.wordpress.com/,53.34,-6.28
https://www.facebook.com/BroadstoneGarden/,53.35,-6.27
https://capuchindaycentre.ie/,53.34,-6.27
https://www.facebook.com/caringissharingdublin/,,
https://www.ecocongregationireland.com/2022/08/07/cherry-orchard-community-garden-by-fran-brady,,-6.27
https://clareville.net/pages/about.htm,53.36,-6.27
https://cgireland.org/the-importance-of-school-garden-as-a-community,53.35,-6.24
https://communityroots.ie/,,-6.27
https://connectingcabra.ie/food-security-giy,53.34,-6.27
https://cookingforfreedom.ie/about-us.php,53.35,-6.26
https://doccs.ie/,53.35,-6.26
https://www.donorecdat.ie/,53.33,-6.28
https://www.dublincity.ie/dublin-city-parks-strategy/4-resources-and-services/412-allotments-and-community-gardens,53.34,-6.26
https://www.dublincommunitygrowers.ie/about/,53.35,-6.54
https://www.facebook.com/dublincsa,53.35,-6.54
https://dublinfood.coop/,53.34,-6.24
https://dublinnorthwest.ie/community-garden,53.38,-6.29
https://www.dubsimon.ie/what-we-do/emergency-outreach/soup-run,53.35,-6.27
https://fallingfruit.org/sharing?locale=en,53.34,-6.25
https://feedourhomeless.ie/contact/,53.39,-6.29
https://www.dublincommunitygrowers.ie/all-gardens/finglas-community-garden/,53.39,-6.30
https://www.instagram.com/flanagansfieldscommunitygarden/,53.33,-6.29
https://foodnotbombs.net/new_site/map/IRELAND.html,53.34,-6.26
https://food.cloud/about,53.34,-6.25
https://friendsoftheelderly.ie/,53.35,-6.26
https://www.dublincommunitygrowers.ie/all-gardens/glas-community-garden/,53.39,-6.26
https://globalactionplan.ie/programmes/community-garden,53.39,-6.26
https://www.goodgrub.ie/,53.28,-6.12
https://www.hse.ie/eng/about/who/healthwellbeing/our-priority-programmes/heal/community-cooking-programmes.html,53.31,-6.23
https://www.irishsoupkitchencentres.ie/about-us,53.34,-6.25
https://www.dublincommunitygrowers.ie/all-gardens/featured-gardens/infirmary-rd-community-garden/,53.35,-6.29
https://irishseedsavers.ie/,53.28,-6.26
https://www.seniorcare.ie/about-us/,53.34,-6.39
https://www.littleflower.ie/national-food-bank-day-2024,53.34,-6.27
https://www.facebook.com/lorcanotooledaycentre/,53.31,-6.30
https://www.lourdesdaycarecentre.ie/home,53.35,-6.25
https://donnybrookparish.ie/mary-aikenhead-day-centre/,53.32,-6.23
https://mealsonwheelsnetwork.ie/,53.38,-6.30
https://mourneroad.ie/parish-history/mother-mcauley-centre,53.32,-6.32
https://www.dublincommunitygrowers.ie/all-gardens/featured-gardens/muck-and-magic-community-garden/,53.39,-6.26
https://mudisland.ie/,53.34,-6.26
https://msoe.ie/,53.34,-6.26
https://www.mustardseedsouprun.com/contact-us,53.35,-6.25
https://northsidehomecare.ie/,53.39,-6.20
https://www.northsidepartnership.ie/health/community-food-hub,53.39,-6.20
https://orionecareireland.ie/,53.39,-6.33
https://www.ourtable.ie/,53.32,-6.24
https://ranelaghcr.ie/,53.32,-6.24
https://www.refridge.ie/,53.35,-6.27
https://www.rediscoverycentre.ie/2023/06/08/hello-world/,53.46,-6.29
https://www.facebook.com/groups/1193863801158225/?ref=share_group_link,53.37,-6.30
https://recdp.ie/,53.34,-6.27
https://www.sanctamariadaycentre.com/about-us,53.37,-6.29
https://www.seedsovereignty.info/who-we-are,53.28,-6.26
https://www.dublincommunitygrowers.ie/all-gardens/featured-gardens/serenity-community-garden/,53.35,-6.27
https://slowfoodireland.com/,53.34,-6.24
https://www.svp.ie/impacts/your-hunger-fighting-gifts,53.35,-6.25
https://sdcpartnership.ie/health-wellbeing/communityfoodandnutrition,53.28,-6.37
https://www.standrews.ie/,53.34,-6.24
https://www.dublincommunitygrowers.ie/all-gardens/featured-gardens/st-annes-city-farm-and-ecology-centre/,53.37,-6.17
https://stanthonysclontarf.ie/house-welcome/,53.36,-6.21
https://srcdublin.org/foodbank,53.34,-6.25
https://www.dublincommunitygrowers.ie/all-gardens/summer-row-community-garden/,53.35,-6.25
https://tudublin.libguides.com/greenweeklibraryresources/librarygarden,53.35,-6.28
https://www.facebook.com/Taplinsfields/,53.34,-6.28
https://www.facebook.com/p/The-D8-Food-Bank-100072404089697,53.33,-6.29
https://www.catholicireland.net/heritage-garden,53.35,-6.25
https://www.dcmlive.ie/the-light-house,53.34,-6.25
https://www.mendicity.org/services/food-service/,53.34,-6.28
https://www.theopendoorfood.com/the-open-door-supper-club,53.34,-6.26
https://www.trinitycommunitycare.ie/,53.39,-6.27
https://www.trustusseniorcare.ie/,53.28,-6.35
https://www.svp.ie/stores/vincents-ballyfermot/,53.34,-6.35
https://www.dublincommunitygrowers.ie/all-gardens/featured-gardens/walk-community-gardens/,53.32,-6.33
https://crosscare.ie/services/community-cafes-and-food,53.34,-6.24
https://hardwickestreetgardenclub.wordpress.com/,53.35,-6.26
