URL,Lat,Lon
https://www.urbangrowth.london/blog/the-importance-of-edible-gardens-in-urban-areas-growing-health-and-community,51.46,-0.11
https://londongardenstrust.org/log2024/gardens/Clissold.html,51.56,-0.09
https://www.thedoctorskitchen.com/podcasts/bonus-episode-why-community-kitchens-are-essential-with-sarah-bentley-from,,
https://gcda.coop/2020/11/02/lewisham-food-hub-hits-50000-tonnes,51.47,-0.01
https://rootsandall.co.uk/podcast/episode-144-sharing-and-borrowing-gardens,,
https://www.gardenorganic.org.uk/what-we-do/hsl,,
https://www.ateamfoundation.org/features/2017/2/1/community-supported-agriculture,,
https://www.sustainweb.org/blogs/may21-reflections-food-growing-pandemic,51.52,-0.04
https://communityfridgemap.org.uk,,
https://nhsforest.org/locations/lambeth-gp-food-co-op,,
https://communitysupportedagriculture.org.uk/find-a-csa,,
https://www.oneearth.org/londons-green-fingers-how-extinction-rebellion-is-turning-protest-into-guerilla-gardening,,
https://www.methodist.org.uk/about/our-stories/addressing-food-poverty-one-community-at-a-time-kensal-rise-methodist-churchs-inspiring-initiative,51.52,-0.12
https://feedbackglobal.org/can-donate-surplus-food,51.58,-0.06
https://www.lowimpact.org/posts/alice-brown-community-farms-part-1,,
https://www.connectedseeds.org/visit,,
https://foodbankaid.org.uk,51.60,-0.17
https://www.hornseyfoodbank.com,51.58,-0.12
https://soupkitchenlondon.org,51.52,-0.13
https://churchhomelesscharity.org.uk/mental-health/lottery-garden-project,51.50,-0.09
https://hubbub.org.uk/community-food-hubs-grant,51.51,-0.11
https://ldn.coop/londons-co-ops/food-co-ops,51.51,-0.06
https://www.villagecentre.org.uk/group/community-fridge,51.43,0.00
https://transitiontogether.org.uk/eat-grow-share-communities-building-food-resilience,50.43,-3.68
https://www.londonfreedomseedbank.org,50.49,-3.75
https://www.alexandrarose.org.uk/press-release-charity-urges-all-parties-to-commit-to-national-fruit-and-veg-on-prescription-programmes,50.82,-0.14
https://www.foodmatters.org/projects/food-roots-incubator,50.82,-0.14
https://sutton.gov.uk/w/community-garden-opens-at-oru-sutton,51.36,-0.19
https://www.thrive.org.uk/get-gardening/seans-story-gardening-for-connection,51.37,-1.00
https://www.surplustosupper.org,51.41,-0.39
https://www.tck.org.uk,51.42,-0.16
https://corbettcommunity.org.uk/2023/03/18/seed-swap-and-share-saturday-25th-march,51.44,0.00
https://www.neighbourly.com/solution/product-surplus,51.44,-2.58
https://www.friendsofruskinpark.org.uk/communitygarden,51.46,-0.09
https://foodcycle.org.uk/community-meals,51.47,-0.13
https://www.chelseaphysicgarden.co.uk/plant-science/index-seminum,51.48,-0.16
https://www.vauxhallcityfarm.org/visit-us/community-garden,51.48,-0.11
https://www.in-deep.org.uk/community-dinners,51.48,-0.12
https://fareshares.org.uk,51.49,-0.10
https://gardenmuseum.org.uk/sowingroots/sowing-roots-esiah-levy,51.49,-0.12
https://www.thebridge-uk.org/fridge,51.50,-0.09
https://www.facebook.com/humanswhogrowfood,51.50,-0.08
https://londongardenstrust.org/features/Overground.htm,51.50,-0.12
https://www.nubianlife.org.uk/josiah-braithwaite-community-garden,51.50,-0.23
