URL,Lat,Lng,coords_approx
https://www.urbangrowth.london/blog/the-importance-of-edible-gardens-in-urban-areas-growing-health-and-community,51.46,-0.11,False
https://www.thedoctorskitchen.com/podcasts/bonus-episode-why-community-kitchens-are-essential-with-sarah-bentley-from,51.5074,-0.1278,True
https://gcda.coop/2020/11/02/lewisham-food-hub-hits-50000-tonnes,51.47,-0.01,False
https://rootsandall.co.uk/podcast/episode-144-sharing-and-borrowing-gardens,51.5074,-0.1278,True
https://www.gardenorganic.org.uk/what-we-do/hsl,51.500021,-0.192442,False
https://www.ateamfoundation.org/features/2017/2/1/community-supported-agriculture,51.511594,-0.1469069,False
https://www.sustainweb.org/blogs/may21-reflections-food-growing-pandemic,51.52,-0.04,False
https://communityfridgemap.org.uk,51.5074,-0.1278,True
https://nhsforest.org/locations/lambeth-gp-food-co-op,51.500021,-0.192442,False
https://communitysupportedagriculture.org.uk/find-a-csa,51.5074,-0.1278,True
https://www.oneearth.org/londons-green-fingers-how-extinction-rebellion-is-turning-protest-into-guerilla-gardening,51.5074,-0.1278,True
https://www.methodist.org.uk/about/our-stories/addressing-food-poverty-one-community-at-a-time-kensal-rise-methodist-churchs-inspiring-initiative,51.52,-0.12,False
https://feedbackglobal.org/can-donate-surplus-food,51.58,-0.06,False
https://www.lowimpact.org/posts/alice-brown-community-farms-part-1,51.5074,-0.1278,True
https://www.connectedseeds.org/visit,51.5219011,-0.0659634,False
https://foodbankaid.org.uk,51.6,-0.17,False
https://www.hornseyfoodbank.com,51.58,-0.12,False
https://soupkitchenlondon.org,51.52,-0.13,False
https://churchhomelesscharity.org.uk/mental-health/lottery-garden-project,51.5,-0.09,False
https://hubbub.org.uk/community-food-hubs-grant,51.51,-0.11,False
https://ldn.coop/londons-co-ops/food-co-ops,51.51,-0.06,False
https://www.villagecentre.org.uk/group/community-fridge,51.43,0.0,False
https://transitiontogether.org.uk/eat-grow-share-communities-building-food-resilience,50.43,-3.68,False
https://www.londonfreedomseedbank.org,50.49,-3.75,False
https://www.alexandrarose.org.uk/press-release-charity-urges-all-parties-to-commit-to-national-fruit-and-veg-on-prescription-programmes,50.82,-0.14,False
https://www.foodmatters.org/projects/food-roots-incubator,50.82,-0.14,False
https://sutton.gov.uk/w/community-garden-opens-at-oru-sutton,51.36,-0.19,False
https://www.thrive.org.uk/get-gardening/seans-story-gardening-for-connection,51.37,-1.0,False
https://www.surplustosupper.org,51.41,-0.39,False
https://www.tck.org.uk,51.42,-0.16,False
https://www.neighbourly.com/solution/product-surplus,51.44,-2.58,False
https://www.friendsofruskinpark.org.uk/communitygarden,51.46,-0.09,False
https://foodcycle.org.uk/community-meals,51.47,-0.13,False
https://www.chelseaphysicgarden.co.uk/plant-science/index-seminum,51.48,-0.16,False
https://www.vauxhallcityfarm.org/visit-us/community-garden,51.48,-0.11,False
https://www.in-deep.org.uk/community-dinners,51.48,-0.12,False
https://fareshares.org.uk,51.49,-0.1,False
https://gardenmuseum.org.uk/sowingroots/sowing-roots-esiah-levy,51.49,-0.12,False
https://www.thebridge-uk.org/fridge,51.5,-0.09,False
https://londongardenstrust.org/features/Overground.htm,51.5,-0.12,False
https://www.nubianlife.org.uk/josiah-braithwaite-community-garden,51.5,-0.23,False
https://www.rbkc.gov.uk/environment/ecology-biodiversity-and-nature-conservation/community-gardens,51.51,-0.17,False
https://www.spitalfieldscityfarm.org/growing,51.52,-0.06,False
https://londonfarmsandgardens.org.uk/community-gardens-and-growing,51.52,-0.06,False
https://www.npfoodbank.org.uk,51.52,-0.19,False
https://www.wen.org.uk/limborough-food-hub,51.52,-0.07,False
https://justfact.co.uk/project/limborough-community-food-hub,51.52,-0.07,False
https://www.goodtogrowuk.org,51.52,-0.08,False
https://www.slpt.org.uk/support-service/wellbeing-hub-south-islington,51.52,-0.09,False
https://thefelixproject.org,51.53,-0.28,False
https://www.bowfoodbank.org,51.53,-0.03,False
https://www.growingkitchen.org,51.53,-0.09,False
https://www.cookforgood.uk/community-meals,51.53,-0.11,False
https://families.newham.gov.uk/kb5/newham/directory/service.page?id=DQgbO1ahIJ0&familychannel=2-6,51.53,0.04,False
https://www.islingtonfoodpartnership.org.uk/community-food-services,51.53,-0.1,False
https://londonirishcentre.org/our-services/community-development/community-fridge,51.54,-0.13,False
https://eat-club.org/hackney-community-kitchens,51.54,-0.07,False
https://www.sufra-nwlondon.org.uk/our-services/community-garden,51.54,-0.26,False
https://westhampsteadcommunityfoodhub.org,51.54,-0.19,False
https://www.mildmaycommunitycentre.org/food,51.55,-0.08,False
https://www.transitionleytonstone.org.uk/community-fridge,51.56,0.01,False
https://omvedgardens.com/kitchen-garden-guides/seed-saving,51.57,-0.14,False
https://ediblelandscapeslondon.org.uk/about-us,51.57,-0.09,False
https://www.freedomsark.org/community-projects/the-community-food-hub,51.58,0.07,False
https://www.enfield.gov.uk/services/your-council/community-hubs-and-food-pantry,51.65,-0.06,False
https://www.yourlocalpantry.co.uk,52.47,-2.03,False
https://maps.transitionnetwork.org/group/transition-newham,53.33,-6.24,False
https://www.sustainablefoodplaces.org/blogs/jan24-find-a-seed-swap-near-you,51.500021,-0.192442,False
https://www.ucl.ac.uk/sustainable/case-studies/2022/jul/community-growing-projects,51.5244006,-0.1334293,False
https://apps.apple.com/gb/app/too-good-to-go-end-food-waste/id1060683933,51.5074,-0.1278,True
https://www.towerhamlets.gov.uk/lgnl/advice_and_benefits/cost-of-living/Help-with-food.aspx,51.5322207,-0.0310226,False
https://theseeddetective.co.uk/seed-list,51.5074,-0.1278,True
https://outofmyshed.co.uk/2012/09/23/collecting-seeds-pros-and-cons,51.5074,-0.1278,True
https://www.lendandtend.com/lend-and-tend-blog/mouthy-money,51.5074,-0.1278,True
https://www.southwarkandlondoncommunitykitchen.co.uk,51.4926193,-0.0637301,False
https://globalplantkitchens.org/stories/what-is-a-vegan-community-kitchen,51.5074,-0.1278,True
https://www.migrateful.org,51.5247032,-0.1073559,False
https://www.gccrc.ca/foodhub,51.5074,-0.1278,True
https://www.kcl.ac.uk/research/community-fridge,51.5131572,-0.1141117,False
https://cityharvest.org.uk,51.50523,-0.25766,False
https://ediblelondon.org/support-us,51.5820987,-0.0688508,False
https://hackneycityfarm.co.uk/projects/food-hub,51.5318662,-0.0665846,False
https://www.justgiving.com/campaign/whcfh,51.5074,-0.1278,True
https://www.kccf.org.uk/coronation-food-project,51.4987483,-0.1329653,False
https://planzheroes.org,51.5074,-0.1278,True
https://www.redmondcommunitycentre.com/community-fridge,51.57054,-0.09152,False
https://www.sustainablemerton.org/communityfridge,51.40187,-0.1964504,False
https://www.trussell.org.uk,51.5074,-0.1278,True
https://relondon.gov.uk/resources/circular-food-pioneer-projects,51.5019328,-0.1190544,False
https://www.communityfridgelondon.com,51.5074,-0.1278,True
https://millydays.org.uk/millygiveaway,51.5074,-0.1278,True
https://www.xcess.org.uk,51.5074,-0.1278,True
https://www.edenprojectcommunities.com/the-big-lunch,51.5074,-0.1278,True
https://www.moruslondinium.org/foraging,51.5074,-0.1278,True
https://www.incredibleediblelambeth.org/seed-swap-and-a-tribute-to-esiah-levy,51.5074,-0.1278,True
https://www.cfgn.org.uk/how-we-work/our-members,51.5341999,-0.0522438,False
https://www.foragelondon.co.uk/the-edible-city-september,51.500021,-0.192442,False
https://notahorticulturist.com/2020/02/28/go-to-or-organise-a-seed-swap,51.5074,-0.1278,True
https://solarpunkstories.substack.com/p/solarpunk-sharing-gardens,51.5074,-0.1278,True
https://www.seeds4all.eu/seed-operators/united-kingdom/london-freedom-seed-bank,51.5074,-0.1278,True
https://gleaning.feedbackglobal.org/go-gleaning,51.500021,-0.192442,False
https://wefeedtheuk.org/event/food-justice-billboards,51.5741299,-0.0853,False
https://abundancedancegarden.wordpress.com/2015/03/28/seed-saving-for-beginners,51.5074,-0.1278,True
https://londonfreedomseedbank.wordpress.com/category/raising-awareness,51.5074,-0.1278,True
https://www.sanford.coop/node/27,51.5074,-0.1278,True
https://www.ukharvest.org.uk,51.5074,-0.1278,True
